movie,review_title,review,review_rating
Mother India,A Masterpiece,"Mother India sits right at the top and shares the seat with just a handful of other movies as one of the best films ever made in Indian Film History. Deservedly, it also garnered an Oscar Nomination for Best Foreign Film - a first for Bollywood. Need I say more? Let me try...Five years after her wedding, Radha, a regular village girl finds she has been abandoned by her husband (who leaves her in despair) and left to cope with his never-ending debt to Shuki Lal, the village ""Munshi"". To feed her children, Radha toils like a farm-animal and is able to save just enough food to eventually bring up her children. The injustice to and torture of their mother is interpreted in opposite ways by her children: while the elder Ramu is humble and just, the younger Birju who seethes with hatred for Sukhi Lal turns outlaw. While Radha tries to bring back Birju with love, Birju plans to finish Sukhi Lal's debt once and for all.Mehboob Khan had made some good movies in his career, including a milestone first all-colour (technicolor) Bollywood feature. But nothing could have hinted at the brilliance to come in his waning years. Defying a very many stereotypes, his was the first major Hindi film with a female protagonist, a cowardly abandoning husband (how RajKumar, men of men, agreed for that role is another story), no definitive hero-heroine pairs, etc. He tells the 172-minute story in flash-back as a memory of an old Radha inaugurating irrigation canals in her village. Taking his titular heroine through happiness, desolation, compulsion and resignation, he transformed box-office darling Nargis into an actress nothing short of a legend. We see her go from an innocent bride to an anguished mother to a revered ""Mother"" of the village.Nargis herself is most remembered for this career-defining and image-breaking portrayal (soon after which she married Sunil Dutt, who portrayed her bitter son Birju*). Sunil Dutt was a very under-rated actor, for the simple reason that all his great performances were never title characters, and were over-shadowed by more famous co-actors. His Birju is played with such realism and conviction that even today many comedians mimicking Sunil Dutt are actually mimicking Birju.The director's production team does work beyond their era and workstyle to create the look of the people and place over time. From famine to flood for the backdrop, youth to old-age for Radha and from bright to dirty earthen to faded colours, the team wins complete involvement of the audience by filling our visual and audio sense with realism just next to reality. The director chose to spend more of his limited budget on these aspects, and in turn had to sacrifice on the equipment he could use to capture the sights and sounds that were being realised: the movie was made on 35mm and mono-sound.Surprisingly, something I have noted as not being mentioned anywhere in literature connected to this movie is how without obviously being so, Mehboob created the most patriotic of Indian movies. The only give-away is in his choice of title Mother India. Depicting his motherland as a repressed and abandoned woman, and her children as peace-loving Gandhi-Ramu or rebellious Bose-Birju, Mehboob layers his movie with such fierce passion, it is impossible not to be overwhelmed by it.",10/10
Super Deluxe,"Okayy, why was this movie even made ??",No sense in the movie - Everything shown is extremely random - Complete waste of time. The only good thing is the social message towards the end of the movie and that to - had to watch total nonsense for 3 hours.,1/10
Dilwale Dulhania Le Jayenge,a masterclass:a divine experience,"the mastery attained and the cult following that it enjoys is simply depicted by the fact that it is still running non-stop, 1 show daily since '95 in mumbai.Also it collected over 120 crores 18 years back when films would collect in 8 figures only.... Watched it myself some 30 or more times but can still watch it with praise any no. of times... Its not just any other flick, its an experience n 1 to be felt at least once before leaving for abode above!!!! Superb creation.....Be it acting, comedy, supporting cast, laughs, cries, family values, freaking out,friendship,cinematography,exotic locales, never forgettable music,singers of calibre of lataji, costumes, father-son/father-daughter /mother-daughter relationship, script, dialogues, editing,direction, the effortless shahrukh khan,beautiful actress kajol and their top notch chemistry( considered to be one of the greatest ever on screen pairs of Indian cinema)-- it simply is way at the top..",10/10
Vikram Vedha,Inspired from The Dark Knight!,"It has the similar root theme with The dark knight. Unpredictable role of protagonist and antagonist. The husband wife issue is the Indian one. And apart from that the villain and hero's role is not depthfull, loses grip in the reality. The movie felt like just a raw collection of unreal shots. The storytelling is unoriginal, like raw scenes put together.
A maximum of 5/10 is its best rating, no more than that. I give it a 4 because I saw the dark knight and surpassing dark knight is a hard job really.",4/10
Thondi Muthalum Driksakshiyum,Thondimuthalum Dhriksakshiyum,Good Movie. Everybody acted well in the movie. BGM in the movie was good. The movie was so interesting and thrilling at 1st half. The movie lagged a lot at some scenes at 2nd half. Good Movie.,5/10
The Shawshank Redemption,Some birds aren't meant to be caged.,"The Shawshank Redemption is written and directed by Frank Darabont. It is an adaptation of the Stephen King novella Rita Hayworth and Shawshank Redemption. Starring Tim Robbins and Morgan Freeman, the film portrays the story of Andy Dufresne (Robbins), a banker who is sentenced to two life sentences at Shawshank State Prison for apparently murdering his wife and her lover. Andy finds it tough going but finds solace in the friendship he forms with fellow inmate Ellis ""Red"" Redding (Freeman). While things start to pick up when the warden finds Andy a prison job more befitting his talents as a banker. However, the arrival of another inmate is going to vastly change things for all of them.There was no fanfare or bunting put out for the release of the film back in 94, with a title that didn't give much inkling to anyone about what it was about, and with Columbia Pictures unsure how to market it, Shawshank Redemption barely registered at the box office. However, come Academy Award time the film received several nominations, and although it won none, it stirred up interest in the film for its home entertainment release. The rest, as they say, is history. For the film finally found an audience that saw the film propelled to almost mythical proportions as an endearing modern day classic. Something that has delighted its fans, whilst simultaneously baffling its detractors. One thing is for sure, though, is that which ever side of the Shawshank fence you sit on, the film continues to gather new fans and simply will never go away or loose that mythical status.It's possibly the simplicity of it all that sends some haters of the film into cinematic spasms. The implausible plot and an apparent sentimental edge that makes a nonsense of prison life, are but two chief complaints from those that dislike the film with a passion. Yet when characters are this richly drawn, and so movingly performed, it strikes me as churlish to do down a human drama that's dealing in hope, friendship and faith. The sentimental aspect is indeed there, but that acts as a counterpoint to the suffering, degradation and shattering of the soul involving our protagonist. Cosy prison life you say? No chance. The need for human connection is never more needed than during incarceration, surely? And given the quite terrific performances of Robbins (never better) & Freeman (sublimely making it easy), it's the easiest thing in the world to warm to Andy and Red.Those in support aren't faring too bad either. Bob Gunton is coiled spring smarm as Warden Norton, James Whitmore is heart achingly great as the ""Birdman Of Shawshank,"" Clancy Brown is menacing as antagonist Capt. Byron Hadley, William Sadler amusing as Heywood & Mark Rolston is impressively vile as Bogs Diamond. Then there's Roger Deakins' lush cinematography as the camera gracefully glides in and out of the prison offering almost ethereal hope to our characters (yes, they are ours). The music pings in conjunction with the emotional flow of the movie too. Thomas Newman's score is mostly piano based, dovetailing neatly with Andy's state of mind, while the excellently selected soundtrack ranges from the likes of Hank Williams to the gorgeous Le Nozze di Figaro by Mozart.If you love Shawshank then it's a love that lasts a lifetime. Every viewing brings the same array of emotions - anger - revilement - happiness - sadness - inspiration and a warmth that can reduce the most hardened into misty eyed wonderment. Above all else, though, Shawshank offers hope - not just for characters in a movie - but for a better life and a better world for all of us. 10/10",10/10
Persona,"""But somehow..., I think I could change myself into you if I tried.""","The movie opens with a series of unconnected and somewhat disturbing images - the shearing of a sheep, a nail pounded into a victim's hand a la the crucifixion, dead people on slabs in a mortuary. Quick edits over the opening credits additionally lend a surreal flavor to the picture, so that we have no idea what's coming. If one were to view the opening montage once again after the picture concludes, one might be willing to connect the teenage boy to Elisabet Vogler (Liv Ullman) as the son she bore who she wants no part of. One will have to decide.It seems to me this is the kind of film that's open to one's interpretation in the most personal of ways. Having read a few of the reviews for this movie, there are multiple thoughts on the film that appear just as valid as mine might be, some that even contradict each other. For this viewer, the dynamic between Elisabet and Sister Alma (Bibi Andersson) forces the caretaker to confront her own insecurities about life. In Elisabet, Alma foresees for herself a failed marriage, children she doesn't want, and abandoning a job that she likes for the sole reason of fitting into a society that expects those things from a woman.It's interesting how Ingmar Bergman's direction offers ambiguity in various scenes. When Lisabet tears up the picture of her son, does Alma witness that or not? When Mr. Vogler arrives he speaks to Alma as if she were his wife, leaving her in a state of confusion. However one of the principal ideas coming out of the film, that the personas of Lisabet and Alma are somehow merging together is one that never crossed my mind, even with the camera tricks of melding the two faces together. As I say, one will have their own thoughts and ideas about what occurs in the story, and who's to say that any one or another is valid or invalid? It's all open to interpretation.What elevates the picture to the rank of pure cinema can be found in it's artistic style and bold cinematography. Notwithstanding the early garish images, the film remains austere throughout with minimal backgrounds. The hospital room and the summer beach house are starkly furnished, as the camera focuses principally on the two women throughout. The story is an existentialist expression of it's director, and if one concentrates on the observation of The Doctor directly to patient Lizabeth, one might catch Bergman's elusive goal, to capture ""the hopeless dream of being, not seeming, but being"".",8/10
Thuppakki,High-octane action thriller,"Written and directed by A.R.Murugadoss, ""Thupakki"" tells us the story of an army man who takes up the mission of eradicating the sleeper cells in Mumbai. He does it almost single-handedly with style and panache, brawn and brain, Tamil movie style. A.R.Murugadoss is back to his old form dishing out an engaging story with almost racy screenplay aided by a best technical team and above all Vijay, that one man entertainment troop. Movie is not without its share of flaws and logical loopholes, as does many great makers' movies are. But what make them click is that they are masters in camouflaging these flaws by a racy narration which leaves the viewers not that much time to think while you are watching the movie. Here A.R.Murugadoss succeeds in doing the same. He flounders in the romantic portion which is marginally better than his previous very dreary ""7 am Arivu"". But there few enjoyable portions in between also.There are at least two or three ""wow!"" moments in the movie which sure would bring goose bumps in most of the viewers. Pre-interval portion is one of the best adrenaline rush scenes in recent times. Another one which warrants mentions is when Vijay emerges out of smoke after shooting one of the terrorists to save the kidnapped girls. These scenes along with the racy screenplay would ensure success. Also the heroism in this movie is not engineered but appears along the flow of the script. Dialogues are another strong point in the movie. There are many hard- hitting dialogs that extol the Indian army and the sacrifices of the army men. Also there are couple of enjoyable humorous dialogs coupled with Vijay's excellent comic timing that rocks the theater.Technically it is one of the best Vijay movies. Santhosh Sivan needs no praise for this movie is like child's play for the great man. His candid shots especially are noteworthy. Srikar Prasad's editing is another astounding aspect of the movie. It is not all racy, where there is need for the pace to slow down he does it with proficiency.Vijay is excellent in a very casual portrayal of an army man accidentally caught in a mission. His body language, Hindi and English diction, comic timing, agility in action sequences and subtle acting makes it one of the best work from him in the recent times next to ""Nanban"". Kajal Agarwal is gorgeous and dances well, though in terms of acting she has nothing much to do. Vidyut Jamwal is excellent, he is more of a Hero material than Villain though he has done a very good job here. Jayaram and Sathyan lend good support.Harris Jayaraj's background score is one of his best in recent times. It makes sure that right amount of adrenaline rush happens in the most crucial of moments in the movie. ""Google google"" and ""Kutti puli kootam"" are awesome dance numbers while ""Vennilave"" is a delectable melody. ""Antartica"" is picturized interestingly while ""Alaika laika"" has good dance movements. ""Poivarva"" is a heart-rending number rightly placed.Agreed there are few moments in the movie that slackens the flow but the larger picture satisfies the audience to a great deal. May be the songs may irritate a few, but when you have a proficient dancer like Vijay, gorgeous damsel like Kajal and above all awesome songs from Harris Jayaraj why wouldn't anyone have songs in their movies.On the whole, 2012 would be remembered as the year in which all the big stars of Tamil cinema fell by the wayside except for this one man, Vijay who has hit bull's-eye not once but twice.",8/10
Stand by Me,I don't get the hype....,"Currently, ""Stand By Me"" is rated #180 on IMDb--a very, very impressive score that would indicate that this is a great film. However, try as I might, I have no idea why the film is rated this highly and I thought the movie was just average to above average and no more. This film is based on a story by Stephen King and is directed by Rob Reiner. It has a very interesting cast of kids all about age 12--Corey Feldman, Jerry O'Connell, River Phoenix and Wil Wheaton--all before they became stars. These four boys decide one summer to go looking for a dead body--the body of a kid who is missing and who was hit by a train. They know about where the body is because one of them overheard one of the older punks talking about discovering it. Almost the entire film consists of the four boys trekking cross-country to find the body. Along the way, they have some adventures, curse a lot and experience togetherness.There were two things I really liked about the film--the nice 1950s music and the acting of two of the characters. Wheaton and Phoenix were blessed to have been given well-rounded and interesting characters to play--and both were outstanding. On the other hand, Feldman and especially O'Connell played characters that seemed much more like caricatures--difficult to believe and rather stereotypical. Something I didn't like was the language, as f-bombs and lots of other nasty language abounded. Now I know that some kids talk like this, that's true, but it tended to make the kids less likable AND made the film less family-friendly--which it easily could have been.Overall, the film really was adequate and nothing special. I expected special but only once or twice (such as with a poignant scene with Wheaton) was I left thinking the film was anything other than a coming of age story and nothing more. I just didn't get it...",6/10
It's a Wonderful Life,"""To My Big Brother George, The Richest Man In Town""","I've always thought that the reason It's A Wonderful Life has had such enduring popularity is that more than in any other film it shows what can be the value of a single individual and the contribution to the greater good they can make.George Bailey as portrayed by James Stewart is the kind of every man hero we can all identify with. He's got the every day problems to be sure, raising and providing for a family, but he's got bigger problems than that. Fate has made him the rallying point of opposition in his small town of Bedford Falls to the ""richest and meanest man in town"", embodied in Lionel Barrymore.It's a real David vs. Goliath battle. Barrymore seems to have unlimited resources at his disposal. Samuel S. Hinds as Peter Bailey put it so well to him in asking what are you doing all this for? Barrymore does have more money than he could ever possibly use. A little charity wouldn't hurt him.Remember the basic plot outline. A whole lot of people in Bedford Falls one post World War II Christmas Eve see that their friend George is toting a heavy load of mysterious origins. Their prayers reach the heavens where an angel is dispatched to aid.But before Henry Travers the angel arrives, he's given the story of George Bailey's life. And we see the kind of struggles he's had, the sacrifices he's made for the good of a whole lot of others. We've also seen a greedy and grasping Potter, grabbing everything that George Bailey cannot save. Something happens that day before Christmas through no fault of his own, Bailey is in big trouble. It's driven him to the brink of despair. That's why the angel is sent down. He shows him the alternate universe that would have been had he never existed. It's something each and every one of us should try to do, step outside ourselves see just what our contributions can be.But I think what Frank Capra is trying to say in this greatest of his films is that having done that and we realize we haven't contributed to the greater good of humankind, we resolve to do so. It's a simple, but profound lesson.What if Potter got the same opportunity? In a sense Charles Dickens did just that in A Christmas Carol. Would Lionel Barrymore change? It's an interesting point of speculation.In addition to those cast members already mentioned a whole group of players who worked with Capra before grace this film. Add to that some others and you have a perfectly cast feature picture.Donna Reed has an interesting part as well. Your choice of mate is real important in life. Had she not been as loving and supportive to George Bailey, he might very well have taken a different route in life. Mary Hatch Bailey became a signature part for her, more identified than her role in From Here to Eternity which got her an Oscar. It certainly was the basis for her TV series.When Todd Karns who plays Harry Bailey toasts his brother he's saying that the riches of the world are not necessarily things that can be quantified. Your life is not measured in material things, but in how you use the material things given you. And that universal lesson will be taught into eternity as long as It's A Wonderful Life is shown every year. Wouldst we all learn it.",10/10
Rebecca,Absolutely perfect Gothic Thriller that has many imitators but few of equal quality.,"I recall the first time I saw this on TV almost 30 years ago on the late show, I had set my VCR to tape it, but woke up to start watching a bit of it, and stayed up all night to watch it all. That's how good a film it is. Daphne Du Maurier's tale of a shy companion who shocks her employer by winning the most desired wealthy widow in England is gripping, suspenseful, and filled with innuendo. Joan Fontaine never gave a more lovely performance as the awkward bride who leaves her hysterically selfish employer (Florence Bates) to marry the brooding Maxim De Winter (Laurence Olivier) and finds animosity from the darkly dressed Mrs. Danver (Judith Anderson) who resents her intrusion because of her devotion to Maxim's late wife, Rebecca. The mystery of how Rebecca died and what kind of woman she really was is explored, and with the intrusion of scoundrel George Sanders and some well-meaning advice from Maxim's toothy sister (Gladys Cooper), the new Mrs. De Winter (her first name is never revealed) finds out more than she bargained for.If you thought Olivier's Heathcliff in ""Wuthering Heights"" was dark and somewhat depressing, wait until you meet his more civilized Maxim. Joan Fontaine's bride is as far from Merle Oberon's ""wild and sweet"" Cathy as you can find, but as far as Gothic tales of brooding men and their lost souls go, the two movies make a perfect double feature. Samuel Goldwyn and David Selznick were Hollywood's most famous independent producers, so sometimes their careers are compared. They share many of the same players, and in the case of these two films, the same photographer (Gregg Toland). Fontaine and Olivier work well on screen together, even though they apparently did not share a close working relationship. It is, however, the supporting players who are the shining stars. Anderson's Mrs. Danvers is a role we've already seen on screen (usually played by Gale Sondergaard), but being Anderson's second film (and first in 7 years), there was a lot of curiosity surrounding her considering her reputation as one of Broadway's hottest dramatic actresses. Mrs. Danvers isn't a one dimensional evil housekeeper; You understand her affection for the late Rebecca from the very beginning, and in every movement Anderson makes, you cannot take your eyes off of her. I can't praise her highly enough. Sanders' suave villain (who playfully calls Mrs. Danvers ""Danny"") is extremely likable and almost equal in stealing away the attention of the leads. Gladys Cooper and Nigel Bruce add on a delightful ""pip pip"" quality to their eccentric characters, while in her brief time on screen, Florence Bates is hysterically funny, putting out a cigarette in her cold cream, and coolly telling Fontaine how she can never truly be a ""great lady"".Every moment here is a classic movie memory, from the opening narration to Fontaine's first vision of De Winter, and then, the rainy ride down to where Fontaine sees Mandalay for the first time. The light first quarter darkens the moment we see Anderson pop into view as Mrs. Danvers. A cold pause, then ""How Do You Do"" reveals the tension, and from there, everything is set. Anderson explodes in two scenes-the first where she finds the hiding Fontaine in Rebecca's old room, and later, when Fontaine confronts Anderson after discovering her treachery. The film sags just a bit with the discovery of a body that might be Rebecca's, but that is minor. C. Aubrey Smith is memorable in his small role as Maxim's attorney. The final shot will live on in your memory, just as Mandalay lived on in the second Mrs. De Winter's.While ""Rebecca"" won Best Film at that year's Academy Awards, many film historians prefer the message drama ""The Grapes of Wrath"" as the better film. I find the two rank very close, and also quibble over between the choice of Jane Darwell for Supporting Actress over Anderson's Mrs. Danvers. A big mistake was not nominating Sanders. A BBC version years later is also very good, a bit more faithful to the novel, and benefits from Diana Rigg as a more approachable Mrs. Danvers and a very diva-ish performance by Faye Dunaway in the Florence Bates role. There has also been a European musical version, scheduled for opening on Broadway several seasons ago, but delayed and possibly permanently tossed in the sea under Rebecca's bedroom.",10/10
Anbe Sivam,Anbe Sivam ( Love is God ) - An experience of love,"Ever wondered what keeps humans going? Think of your biggest skill, your best feature and the main reason for your level of confidence. Now what if a tragedy stole this from you? What next? How will you face the world? Will you be able to love yourself again? This movie answers these and beyond. The movie which is better related to as an experience will leave you awestruck in every possible way.The story is about a journey shared by two people - Nalla Sivam aka Nalla(Kamal Haasan), an experienced, physically challenged, middle aged guy and Anbarasu aka A.Aras ( R. Madhavan ), a short tempered, immature, good at heart youth from Bhuvaneshar to Chennai ( Along east coast of India ). Nalla, being the matured he is, teaches Aras that it is love that is god! He takes us along with Aras through an emotional havoc which leaves our heart with no space but for love. Nalla's heart touching flashback, the words he utters to show his brotherly love to Aras, and the way their stories converge, are few of the many brilliant moments this movie has to offer. The movie poses strong philosophical views to those deep thinkers. It's title ""Anbe Sivam"" can also be seen to imply that Anbarasu is Nalla Sivam. That is, beyond any truth, you and I are one and the same.This movie is a must watch if you thought miracles happen to change one's perspective.PS : The fact that it is directed by Sundar C may come as a shock to any 2000's kid who would have been most vulnerable to his recent ventures.",10/10
Casablanca,I will always remember this....,"And certainly this is Hollywood movie making at its finest, a film that by accident went from an intended standard propaganda war film to unforgettable blockbuster. An early showing in New York made this a 1942 release that didn't make it Oscar eligible, and it's easy to see it taking the prize over the excellent but not as good ""Mrs. Miniver"" since this didn't get wide release (and an L. A. premiere) until early 1943.The success of the movie cannot be pinpointed to one source, because everything that brings this movie together is started from the screenplay, and spread out to the cameraman, director, musical score and the excellent technical team, with even the smallest roles brilliantly cast. You can say that there was an angel over-the-shoulder at Warner Brothers guiding director Michael Curtiz and fully realized to the pairing of Humphrey Bogart and Ingrid Bergman.Bogart wasn't exactly a huge star at the time, having just achieved his first huge success with ""The Maltese Falcon"", and Bergman had been in a few moderately successful films that didn't indicate that she had superstardom ahead of her. This assured legendary status for both, and their single pairing on screen is incredibly perfect, aided by the fact that they never worked together again.For the villains, you have Conrad Veidt as the evil Nazi officer and in smaller roles Sydney Greenstreet and Peter Litre. Claude Rains is initially a character of ambiguous description, but he becomes the moral conscience of the film as you get to know him. He's hysterically funny, especially when he is ordered by Veidt to shut down the casino and then given his gambling winnings after indicating shock that gambling is going on.Bland on the surface, there's much more to Paul Henreid's character than you see on the surface. You can see what drew him and Bergman together yet understand what draws her to Bogart. It's a no win situation for her because she does indeed love both men even if the passion for Bogart is greater. Chance for long term happiness comes with Henreid.Then there's the comic relief of S. Z. Sakall, a character who is much more wise than he lets on, and the soulful performance of singer Dooley Wilson who shows great support for Bogart with great heart and intelligence as well. Wilson easily could have been a supporting actor nominee for this film because he is legendary in this film, and once you've heard him sing ""As Time Goes By"", you'll never forget it.I can watch this film over and over and never be bored. There are films that are classics in a way that over the years has made them notorious and films that have stood the test of time because they are just brilliant. This one fits in the class of the later description, a film so perfect in its casting. This is a film that is completely flawless, patriotic and moving, funny and romantic, and like the sequence where the Nazis sing their anthem while the Allies sing theirs, it is a film that makes viewer stand up and cheer when the good guys win and the bad guys are dealt with in a way that film villains should be.",10/10
Papanasam,Papanasam (2015),The film was so thrilling and interesting. The film is full of twists and suspense. Kamal Hassan was awesome in the film with his outstanding performance. Songs and BGM were awesome in the film. Overall the film was awesome.,10/10
The Shawshank Redemption,All-time prison film classic,"Based on a novella by Stephen King, this is better than even THE GREEN MILE and goes to show that you don't need supernatural elements in a prison story – the setting is enough to carry a film as it is. SHAWSHANK often shows up as the ""best film of all time"" on various movie lists - including here on the IMDb - and, whilst I don't necessarily agree about that, it is a very good film indeed, near flawless in fact.Every technical element of the film is spot-on, from direction to music, editing, and acting; Morgan Freeman delivers his best ever performance whilst Tim Robbins shows us what a great character actor he is. Even better, for a genre fan like me, is seeing acting favourites like Clancy Brown, William Sadler, Brian Libby, and James Whitmore all appearing in the film together and playing more than just stock good or bad guy roles. Every actor is great here, and the script (which sticks closely to King's writing) is nigh-on perfect. Emotion, thrills, drama, and the triumph of the human spirit are all present in this movie, which is one of the greatest prison flicks ever.",10/10
Dor,Simplicity at it BEST!!,"This movie has touched some really important topics like friendship, kindness, empathy, love and the strength that these emotions have when humans show these to others.
On the acting front, everyone was marvellous and the lead characters did complete justice with their roles. The story is good and the dialogues are simple and blend completely with the plot and background of the movie.In nutshell, a beautifully made wonderful movie!!",8/10
Joji,This Combo is Promising.,"A very good experiment during the covid time. In the beginning Fahad was off the knot, may be it was the character. Overall impressive.",9/10
Special 26,Ok,This movie is ok only one time watch but thief is thief sins,5/10
Klaus,Beautifully animated Christmas tale,"It's refreshing that we can still get new Christmas classics. Because I think this film has a fairly hefty chance of ending up as one. Animated by Sergio Pablos and his animation studio, and distributed by Netflix, Klaus is the story of Jesper, a privileged, pampered heir to an enormous postal empire, who ends up being sent to a remote island to run its deserted post office. There he ends up inadvertently starting the myth of Santa.The film is, first of all, absolutely gorgeous. Hand-drawn animation is such a dying art form these days, that it's always a feast for the eyes to see one, but even despite that this would be an eye-popper. Especially how seamlessly the characters blend with the backgrounds, or how soft the lighting can be. Pablos used to work for Disney during their Renaissance and took it up as his goal to take the art form even further. I'd say he one hundred percent succeeded.As for the story, it's nice. Jesper is a bit of a cliché character. A pampered prince forced to work for the first time in his life in a remote village where his heart will finally melt. You've heard this a million times. That being said, the location of Smeerensburg is different enough that it feels kind of new. I also really like the character of Klaus, who's this hulking beast of a lumberjack, who nevertheless speaks rather softly and spends his time making toys. While carrying around an axe big enough to make a Tolkien dwarf proud. Now this is a Santa I can get behind.I like this. It has enough new things to give it a distinct identity, has a nice message, good characters and a gorgeous animation style. What's not to like? I'm definitely checking this out again come next Yuletide.",7/10
"The Good, the Bad and the Ugly",Sergio Leone's penultimate Italian-western; a film that gets better with each passing year...,"...and though those last several words could also be attributed to Leone's ""Once Upon a Time"" films (West and America) as well as the other pieces in his trilogy of films with Clint Eastwood- Fistful of Dollars and For a Few More Dollars- arguably this is the most ambitious and spellbinding one of the bunch, and one that has inspired (i.e. Quentin Tarantino, Sam Raimi, Robert Rodriguez) and will most likely continue to inspire filmmakers and fans into the 21st century. There's something in The Good, the Bad, and the Ugly that's nearly (or perhaps is) mythical in it's craft, certain scenes come off as being more than relevant and exquisite for that scene/sequence- it transcends into aspects of humanity.For example, in the first part of the film (this is after the extraordinary introductions to Tuco, played by Eli Wallach, Sentenza or 'Angel Eyes', played by Lee Van Cleef, and as Blondie by a 35/36 year old Clint), Joe gets Tuco out of a hanging, which is something of a regular practice for them, but Joe decides to leave his 'buddy' out in the desert to walk the rest of the way back into town. A little later, the situation gets reversed, as Tuco has a horse and water and Joe doesn't, and they both go to cross the desert. Leone decides to not follow Tuco coming back to town as much as he follows in earnest Tuco and Joe going across that desert, as Joe starts to burn and dry up, going towards a story that will soon unfold. There is something to these scenes that I can barely describe, that they're executed in the mind-set of a Western, but in the abstract Leone lets the audience know this is a story that is bold and bigger than life.What makes much of the Good, the Bad, and the Ugly such a huge success is the trust Leone had in his own style he spun into his own after the first two westerns, his trust in his collaborators, and in his leading players as well. I, for one, had to mistakenly figure out that it is near depressing to watch this film on a regular VCR tape due to the pan & scan process. There is such a clear, distinct visual scope that Leone and camera director Tonino Delli Colli achieve that it's practically a must to get the DVD (preferably the extended version, which was Leone's original cut more or less). The editing, too, is unique in many sequences (the climax is the most noted and memorable). The score, with usual collaborator Ennio Morricone, is one of the landmark movie scores, and themes, of not just in the western genre but in all movie history. And the three main players who take on the screen have their own chops to show off: Eastwood, technically, was playing a Joe that took place before Fistful of Dollars, yet by this film had it down to a T (it's still my favorite performance from him, despite having few words and reactions); Cleef's cold, cunning Angel Eyes steals the scenes he's in; ditto for Wallach, who gets under the skin of his co-patriots as much as he sometimes does under the viewer's. If anyone really stays in the mind, at least for me, it's Wallach - especially as he gets the most 'character', and one of the very best scenes is between Tuco and his religious brother. Without that scene, the movie actually wouldn't work quite as well, surprisingly enough. Overall, The Good, the Bad and Ugly, is an entirely satisfying western, at least one of my five favorites ever made, and it's an endearing bravo to all who were involved.",10/10
Aamir,"It's a relentless race against time, and we are mere spectators.","Aamir is by far one of the best Bollywood films of all time. An intense action-thriller and a psychological drama at the same time, the film wastes no time in setting up the conflict and eventually putting us in the protagonist's shoes as he's forced to go places and at times, even run for his life! Even thought it's made on a lower budget, the makers seem to have utilized the money by investing it in the right place. No singing, dancing or romancing. Just straight-up tension, and that's one of the many reasons you don't realize how quickly time flies by while watching Aamir.The director has used several elements as metaphors, which is an impressive aspect of Aamir; background characters being mere spectators as Aamir races against time is pretty similar to the viewer's watching him too, as a mere spectator. Dialogues are strong, and it's evident from the opening sequence itself. Amit Trivedi's music is a major plus; since songs are used only in background, they perfectly gel with the visuals. Cinematography and editing are both top-notch and you can easily feel as if you're actually in Mumbai while watching the film. The action sequences are brilliant as well; from several chases to a couple of fight scenes, Aamir's action is as realistic and intense as it can get.Rajeev Khandelwal's performance is the biggest highlight of Aamir. For a film that manages to feel like a one-man show in spite of having multiple characters, Aamir succeeds in redeeming his brilliant performance. Another major applause should go to Gajraj Rao, who's menacing and intense whenever there's a scene involving him. His dialogue delivery can send shivers down your spine: it's that brilliant.With ample twists and turns elevated further by an electrifying background score, Aamir reaches a powerful climax, eventually ending on an intense note. I was so stunned that I couldn't skip the credits. The background song just summed up my feelings. Overall, Aamir is a stunning masterpiece. Don't let go of any chance to watch this film, if you ever get one. I watched it on Netflix, but I'm definitely gonna get a DVD copy to keep it as a collector's item. I hope to find more films like this.",10/10
The Princess Bride,"It's not just a ""Kissing"" Movie","Director Rob Reiner is an Excellent and Diverse Director who makes Very Few Films. But most of them are Rightfully Placed in the Upper Echelons of their Perspective Genres. This one is No Exception. It is a Cross Generational Fairy Tale that has a Large Cult Following and can Now be considered a Classic. By the way, if You hear Someone Saying ""instant classic"", there is No such Thing and They are Trying to Sell You Something.This is a Movie that has Heart. A Comedy of Inspiration and Hope filled with all those Things that Grandpa tells His bedridden Grandson as He Smoothly Pitches the Attributes of the ""Book"", those things that were His Television.Here is a Charming Movie that may be a Tad Overrated but is Nonetheless a Fine Film and Deserving of its Reputation. In the New Millennium it is Likely to be Liked more by Adults than Kids or ""Young Adults"", and while not Inconceivable it may be something Worthy of some Discussion.",8/10
Spice World,"Wish I could have voted lower than ""1""","I saw this ""thing"" (I can't bring myself to say ""movie"") back in 1997 when it came out.  I went partially out of curiosity and partially because it got some good reviews.  I was appalled!  The girls can't act, can't dance, certainly can't sing and have no personality between them.  There was no plot, all the ""jokes"" were unfunny, all the reputable actors that agreed to show up look embarassed (as they should be).  I usually sit through any movie no matter how bad, but I walked out on this one.  Just simply everything about it was BAD!!!!  And, no it wasn't good enough for laughs. I couldn't even think out things to yell at it...it's one of those movies you just watch in disbelief that something this terrible could be filmed and released.  THank God, they're not making a sequel!  To be avoided at all costs!!!!!!",1/10
